ClipID,Boredom,Engagement,Confusion,Frustration ,frame_path
4000221001.avi,0,2,0,0,DataSet_Frames/Validation/4000221001_01.jpg
4000221001.avi,0,2,0,0,DataSet_Frames/Validation/4000221001_02.jpg
4000221001.avi,0,2,0,0,DataSet_Frames/Validation/4000221001_03.jpg
4000221001.avi,0,2,0,0,DataSet_Frames/Validation/4000221001_04.jpg
4000221001.avi,0,2,0,0,DataSet_Frames/Validation/4000221001_05.jpg
4000221001.avi,0,2,0,0,DataSet_Frames/Validation/4000221001_06.jpg
4000221001.avi,0,2,0,0,DataSet_Frames/Validation/4000221001_07.jpg
4000221001.avi,0,2,0,0,DataSet_Frames/Validation/4000221001_08.jpg
4000221001.avi,0,2,0,0,DataSet_Frames/Validation/4000221001_09.jpg
4000221001.avi,0,2,0,0,DataSet_Frames/Validation/4000221001_10.jpg
4000221001.avi,0,2,0,0,DataSet_Frames/Validation/4000221001_11.jpg
4000221001.avi,0,2,0,0,DataSet_Frames/Validation/4000221001_12.jpg
4000221001.avi,0,2,0,0,DataSet_Frames/Validation/4000221001_13.jpg
4000221001.avi,0,2,0,0,DataSet_Frames/Validation/4000221001_14.jpg
4000221001.avi,0,2,0,0,DataSet_Frames/Validation/4000221001_15.jpg
4000221001.avi,0,2,0,0,DataSet_Frames/Validation/4000221001_16.jpg
4000221001.avi,0,2,0,0,DataSet_Frames/Validation/4000221001_17.jpg
4000221001.avi,0,2,0,0,DataSet_Frames/Validation/4000221001_18.jpg
4000221001.avi,0,2,0,0,DataSet_Frames/Validation/4000221001_19.jpg
4000221001.avi,0,2,0,0,DataSet_Frames/Validation/4000221001_20.jpg
4000221001.avi,0,2,0,0,DataSet_Frames/Validation/4000221001_21.jpg
4000221001.avi,0,2,0,0,DataSet_Frames/Validation/4000221001_22.jpg
4000221002.avi,1,3,0,0,DataSet_Frames/Validation/4000221002_01.jpg
4000221002.avi,1,3,0,0,DataSet_Frames/Validation/4000221002_02.jpg
4000221002.avi,1,3,0,0,DataSet_Frames/Validation/4000221002_03.jpg
4000221002.avi,1,3,0,0,DataSet_Frames/Validation/4000221002_04.jpg
4000221002.avi,1,3,0,0,DataSet_Frames/Validation/4000221002_05.jpg
4000221002.avi,1,3,0,0,DataSet_Frames/Validation/4000221002_06.jpg
4000221002.avi,1,3,0,0,DataSet_Frames/Validation/4000221002_07.jpg
4000221002.avi,1,3,0,0,DataSet_Frames/Validation/4000221002_08.jpg
4000221002.avi,1,3,0,0,DataSet_Frames/Validation/4000221002_09.jpg
4000221002.avi,1,3,0,0,DataSet_Frames/Validation/4000221002_10.jpg
4000221002.avi,1,3,0,0,DataSet_Frames/Validation/4000221002_11.jpg
4000221002.avi,1,3,0,0,DataSet_Frames/Validation/4000221002_12.jpg
4000221002.avi,1,3,0,0,DataSet_Frames/Validation/4000221002_13.jpg
4000221002.avi,1,3,0,0,DataSet_Frames/Validation/4000221002_14.jpg
4000221002.avi,1,3,0,0,DataSet_Frames/Validation/4000221002_15.jpg
4000221002.avi,1,3,0,0,DataSet_Frames/Validation/4000221002_16.jpg
4000221002.avi,1,3,0,0,DataSet_Frames/Validation/4000221002_17.jpg
4000221002.avi,1,3,0,0,DataSet_Frames/Validation/4000221002_18.jpg
4000221002.avi,1,3,0,0,DataSet_Frames/Validation/4000221002_19.jpg
4000221002.avi,1,3,0,0,DataSet_Frames/Validation/4000221002_20.jpg
4000221002.avi,1,3,0,0,DataSet_Frames/Validation/4000221002_21.jpg
4000221002.avi,1,3,0,0,DataSet_Frames/Validation/4000221002_22.jpg
4000221006.avi,1,2,0,0,DataSet_Frames/Validation/4000221006_01.jpg
4000221006.avi,1,2,0,0,DataSet_Frames/Validation/4000221006_02.jpg
4000221006.avi,1,2,0,0,DataSet_Frames/Validation/4000221006_03.jpg
4000221006.avi,1,2,0,0,DataSet_Frames/Validation/4000221006_04.jpg
