ClipID,frame_path,Primary_Emotion
4000221001.avi,DataSet_Frames/Validation/4000221001_01.jpg,Engagement
4000221001.avi,DataSet_Frames/Validation/4000221001_02.jpg,Engagement
4000221001.avi,DataSet_Frames/Validation/4000221001_03.jpg,Engagement
4000221001.avi,DataSet_Frames/Validation/4000221001_04.jpg,Engagement
4000221001.avi,DataSet_Frames/Validation/4000221001_05.jpg,Engagement
4000221001.avi,DataSet_Frames/Validation/4000221001_06.jpg,Engagement
4000221001.avi,DataSet_Frames/Validation/4000221001_07.jpg,Engagement
4000221001.avi,DataSet_Frames/Validation/4000221001_08.jpg,Engagement
4000221001.avi,DataSet_Frames/Validation/4000221001_09.jpg,Engagement
4000221001.avi,DataSet_Frames/Validation/4000221001_10.jpg,Engagement
4000221001.avi,DataSet_Frames/Validation/4000221001_11.jpg,Engagement
4000221001.avi,DataSet_Frames/Validation/4000221001_12.jpg,Engagement
4000221001.avi,DataSet_Frames/Validation/4000221001_13.jpg,Engagement
4000221001.avi,DataSet_Frames/Validation/4000221001_14.jpg,Engagement
4000221001.avi,DataSet_Frames/Validation/4000221001_15.jpg,Engagement
4000221001.avi,DataSet_Frames/Validation/4000221001_16.jpg,Engagement
4000221001.avi,DataSet_Frames/Validation/4000221001_17.jpg,Engagement
4000221001.avi,DataSet_Frames/Validation/4000221001_18.jpg,Engagement
4000221001.avi,DataSet_Frames/Validation/4000221001_19.jpg,Engagement
4000221001.avi,DataSet_Frames/Validation/4000221001_20.jpg,Engagement
4000221001.avi,DataSet_Frames/Validation/4000221001_21.jpg,Engagement
4000221001.avi,DataSet_Frames/Validation/4000221001_22.jpg,Engagement
4000221002.avi,DataSet_Frames/Validation/4000221002_01.jpg,Engagement
4000221002.avi,DataSet_Frames/Validation/4000221002_02.jpg,Engagement
4000221002.avi,DataSet_Frames/Validation/4000221002_03.jpg,Engagement
4000221002.avi,DataSet_Frames/Validation/4000221002_04.jpg,Engagement
4000221002.avi,DataSet_Frames/Validation/4000221002_05.jpg,Engagement
4000221002.avi,DataSet_Frames/Validation/4000221002_06.jpg,Engagement
4000221002.avi,DataSet_Frames/Validation/4000221002_07.jpg,Engagement
4000221002.avi,DataSet_Frames/Validation/4000221002_08.jpg,Engagement
4000221002.avi,DataSet_Frames/Validation/4000221002_09.jpg,Engagement
4000221002.avi,DataSet_Frames/Validation/4000221002_10.jpg,Engagement
4000221002.avi,DataSet_Frames/Validation/4000221002_11.jpg,Engagement
4000221002.avi,DataSet_Frames/Validation/4000221002_12.jpg,Engagement
4000221002.avi,DataSet_Frames/Validation/4000221002_13.jpg,Engagement
4000221002.avi,DataSet_Frames/Validation/4000221002_14.jpg,Engagement
4000221002.avi,DataSet_Frames/Validation/4000221002_15.jpg,Engagement
4000221002.avi,DataSet_Frames/Validation/4000221002_16.jpg,Engagement
4000221002.avi,DataSet_Frames/Validation/4000221002_17.jpg,Engagement
4000221002.avi,DataSet_Frames/Validation/4000221002_18.jpg,Engagement
4000221002.avi,DataSet_Frames/Validation/4000221002_19.jpg,Engagement
4000221002.avi,DataSet_Frames/Validation/4000221002_20.jpg,Engagement
4000221002.avi,DataSet_Frames/Validation/4000221002_21.jpg,Engagement
4000221002.avi,DataSet_Frames/Validation/4000221002_22.jpg,Engagement
4000221006.avi,DataSet_Frames/Validation/4000221006_01.jpg,Engagement
4000221006.avi,DataSet_Frames/Validation/4000221006_02.jpg,Engagement
4000221006.avi,DataSet_Frames/Validation/4000221006_03.jpg,Engagement
4000221006.avi,DataSet_Frames/Validation/4000221006_04.jpg,Engagement
4000221006.avi,DataSet_Frames/Validation/4000221006_05.jpg,Engagement
4000221006.avi,DataSet_Frames/Validation/4000221006_06.jpg,Engagement
4000221006.avi,DataSet_Frames/Validation/4000221006_07.jpg,Engagement
4000221006.avi,DataSet_Frames/Validation/4000221006_08.jpg,Engagement
4000221006.avi,DataSet_Frames/Validation/4000221006_09.jpg,Engagement
4000221006.avi,DataSet_Frames/Validation/4000221006_10.jpg,Engagement
4000221006.avi,DataSet_Frames/Validation/4000221006_11.jpg,Engagement
4000221006.avi,DataSet_Frames/Validation/4000221006_12.jpg,Engagement
4000221006.avi,DataSet_Frames/Validation/4000221006_13.jpg,Engagement
4000221006.avi,DataSet_Frames/Validation/4000221006_14.jpg,Engagement
4000221006.avi,DataSet_Frames/Validation/4000221006_15.jpg,Engagement
4000221006.avi,DataSet_Frames/Validation/4000221006_16.jpg,Engagement
4000221006.avi,DataSet_Frames/Validation/4000221006_17.jpg,Engagement
4000221006.avi,DataSet_Frames/Validation/4000221006_18.jpg,Engagement
4000221006.avi,DataSet_Frames/Validation/4000221006_19.jpg,Engagement
4000221006.avi,DataSet_Frames/Validation/4000221006_20.jpg,Engagement
4000221006.avi,DataSet_Frames/Validation/4000221006_21.jpg,Engagement
4000221006.avi,DataSet_Frames/Validation/4000221006_22.jpg,Engagement
4000221008.avi,DataSet_Frames/Validation/4000221008_01.jpg,Engagement
4000221008.avi,DataSet_Frames/Validation/4000221008_02.jpg,Engagement
4000221008.avi,DataSet_Frames/Validation/4000221008_03.jpg,Engagement
4000221008.avi,DataSet_Frames/Validation/4000221008_04.jpg,Engagement
4000221008.avi,DataSet_Frames/Validation/4000221008_05.jpg,Engagement
4000221008.avi,DataSet_Frames/Validation/4000221008_06.jpg,Engagement
4000221008.avi,DataSet_Frames/Validation/4000221008_07.jpg,Engagement
4000221008.avi,DataSet_Frames/Validation/4000221008_08.jpg,Engagement
4000221008.avi,DataSet_Frames/Validation/4000221008_09.jpg,Engagement
4000221008.avi,DataSet_Frames/Validation/4000221008_10.jpg,Engagement
4000221008.avi,DataSet_Frames/Validation/4000221008_11.jpg,Engagement
4000221008.avi,DataSet_Frames/Validation/4000221008_12.jpg,Engagement
4000221008.avi,DataSet_Frames/Validation/4000221008_13.jpg,Engagement
4000221008.avi,DataSet_Frames/Validation/4000221008_14.jpg,Engagement
4000221008.avi,DataSet_Frames/Validation/4000221008_15.jpg,Engagement
4000221008.avi,DataSet_Frames/Validation/4000221008_16.jpg,Engagement
4000221008.avi,DataSet_Frames/Validation/4000221008_17.jpg,Engagement
4000221008.avi,DataSet_Frames/Validation/4000221008_18.jpg,Engagement
4000221008.avi,DataSet_Frames/Validation/4000221008_19.jpg,Engagement
4000221008.avi,DataSet_Frames/Validation/4000221008_20.jpg,Engagement
4000221008.avi,DataSet_Frames/Validation/4000221008_21.jpg,Engagement
4000221008.avi,DataSet_Frames/Validation/4000221008_22.jpg,Engagement
